Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,TimeInQPC,MsBetweenSimulationStart,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,CPUStartQPC,MsBetweenAppStart,MsCPUBusy,MsCPUWait,MsGPULatency,MsGPUTime,MsGPUBusy,MsGPUWait,MsAnimationError,AnimationTime,MsFlipDelay,MsAllInputToPhotonLatency,MsClickToPhotonLatency
claude.exe,17852,0x1981104ABA0,DXGI,0,0,0,Hardware Composed: Independent Flip,746560840327,NA,3.90220000000000,4.16770000000000,0.04670000000000,8.06700000000000,12.0627,746560801855,3.8939,3.8472,0.0467,7.8327,4.0815,0.1585,3.9230,NA,12.1043,NA,NA,NA
claude.exe,17852,0x1981104ABA0,DXGI,0,0,0,Hardware Composed: Independent Flip,746560881748,NA,4.14210000000000,4.20490000000000,0.04180000000000,8.13300000000000,12.1255,746560840794,4.1372,4.0954,0.0418,8.0203,4.2081,0.1866,4.0215,-0.3110,15.9982,NA,NA,NA
claude.exe,17852,0x1981104ABA0,DXGI,0,0,0,Hardware Composed: Independent Flip,746560936779,NA,5.50310000000000,4.12900000000000,0.04570000000000,6.86340000000000,10.7514,746560882166,5.5070,5.4613,0.0457,8.0912,4.2335,0.2209,4.0126,0.0082,20.1354,NA,NA,NA
claude.exe,17852,0x1981104ABA0,DXGI,0,0,0,Hardware Composed: Independent Flip,746560970610,NA,3.38310000000000,4.16120000000000,0.08420000000000,7.65910000000000,11.5295,746560937236,3.4216,3.3374,0.0842,6.8177,4.1788,0.2763,3.9025,1.3458,25.6424,NA,NA,NA
claude.exe,17852,0x1981104ABA0,DXGI,0,0,0,Hardware Composed: Independent Flip,746561006532,NA,3.59220000000000,4.15470000000000,0.04460000000000,8.09150000000000,12.0920,746560971452,3.5526,3.5080,0.0446,7.5749,4.0246,0.1976,3.8270,-0.7331,29.0640,NA,NA,NA
claude.exe,17852,0x1981104ABA0,DXGI,0,0,0,Hardware Composed: Independent Flip,746561047454,NA,4.09220000000000,4.16780000000000,0.04450000000000,8.13540000000000,12.1676,746561006978,4.0921,4.0476,0.0445,8.0469,4.1361,0.1227,4.0134,-0.6152,32.6166,NA,NA,NA
claude.exe,17852,0x1981104ABA0,DXGI,0,0,0,Hardware Composed: Independent Flip,746561090262,NA,4.28080000000000,4.19620000000000,0.04100000000000,8.15330000000000,12.0830,746561047899,4.2773,4.2363,0.0410,8.0909,4.2987,0.2487,4.0500,-0.1041,36.7087,NA,NA,NA
claude.exe,17852,0x1981104ABA0,DXGI,0,0,0,Hardware Composed: Independent Flip,746561130943,NA,4.06810000000000,4.18000000000000,0.03970000000000,8.19760000000000,12.1949,746561090672,4.0668,4.0271,0.0397,8.1123,4.1124,0.1561,3.9563,0.0973,40.9860,NA,NA,NA
claude.exe,17852,0x1981104ABA0,DXGI,0,0,0,Hardware Composed: Independent Flip,746561176232,NA,4.52890000000000,4.13940000000000,0.07320000000000,7.88810000000000,11.8054,746561131340,4.5624,4.4892,0.0732,8.1579,4.2194,0.1853,4.0341,-0.0726,45.0528,NA,NA,NA
claude.exe,17852,0x1981104ABA0,DXGI,0,0,0,Hardware Composed: Independent Flip,746561216794,NA,4.05620000000000,4.15680000000000,0.07120000000000,7.95570000000000,11.9060,746561176964,4.0542,3.9830,0.0712,7.8149,4.1238,0.1904,3.9334,0.4056,49.6152,NA,NA,NA
